# title	range	note
卷題與五事綱要	T30n1579_p0699c13-p0699c20	
五事與諦相、名相分別	T30n1579_p0699c21-p0700a20	注意四句分別及真如觀行層次
五事攝法與諸法不可言說	T30n1579_p0700a21-p0700b28	掌握幻喻及名言、自性之辨
不可言說義與分別相續	T30n1579_p0700b29-p0700c26	說明分別假立如何相續生起雜染
五事所取能取與三種取境	T30n1579_p0700c27-p0701a15	區分有言有相、無言有相、無言無相
無相取之成立與內證	T30n1579_p0701a16-p0701b02	無相取並非全無所取
有相為因與苦等智	T30n1579_p0701b03-p0701b18	說明有相智如何引生無相智
所知境影像與涅槃法界	T30n1579_p0701b19-p0701c14	涅槃是清淨寂靜而非斷滅無
修觀除相與無相五位	T30n1579_p0701c15-p0701c23	依次說明轉捨有相、轉得無相及成滿
三乘建立與三種麤重	T30n1579_p0701c24-p0702a07	三乘根器及皮肉心三麤重
聲聞、獨覺、菩薩乘差別	T30n1579_p0702a08-p0702a19	依變化、誓願、法性說明乘種差別
聲聞與菩薩失壞正法	T30n1579_p0702a20-p0702b02	注意兩種失壞的譬喻及執著
五事與薩迦耶、四種真實	T30n1579_p0702b03-p0702b16	兼說尋思、如實遍智及無二密意
三種無自性性	T30n1579_p0702b17-p0702c03	區分相、生、勝義無自性性
諸法無生如幻等密意	T30n1579_p0702c04-p0702c26	依三種無自性解釋空、苦及虛偽顯現
諸佛境界與不可依密意	T30n1579_p0702c27-p0703a13	分辨依無自性與不依無自性之說
五事建立次第與三自性總說	T30n1579_p0703a14-p0703b12	由相、名、分別而至真如、正智
遍計所執自性及其四種義	T30n1579_p0703b13-p0703c04	分辨遍計自相、差別相、所取相、能取相
遍計名、染淨與五類遍計	T30n1579_p0703c05-p0704a06	說明名自性及依名、依義等五種遍計
執著分類、名言繫縛與真明	T30n1579_p0704a07-p0704c12	注意微細執著、如名取義及名言對治
